Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2020-11-25,1980,1992.949951,1942.199951,1947.800049,1941.554199,15062376,,,,,,
2020-11-26,1953.050049,1965,1930.050049,1952.599976,1946.338745,11924527,,,,,,
2020-11-27,1940.5,1956.099976,1921.400024,1929.800049,1923.611938,21845931,,,,,,
2020-12-01,1940.349976,1966.25,1930.050049,1954.900024,1948.63147,9114939,,,,,,
2020-12-02,1958.5,1962,1935,1958.150024,1951.870972,10240168,,,,,,
2020-12-03,1972,1981.099976,1958.650024,1964.050049,1957.752075,12822945,,,,,,
2020-12-04,1969,1969,1940,1946.75,1940.507568,8521388,,,,,,
2020-12-07,1940.599976,1965,1940.599976,1958.199951,1951.920776,8418767,,,,,,
2020-12-08,1961.150024,2014.25,1950,1993.75,1987.356812,20030506,,,,,,
2020-12-09,2009.949951,2033.800049,1999.25,2026.949951,2020.450317,13464375,,,,,,
2020-12-10,2021.599976,2028.5,2001,2007,2000.564331,7414229,,,,,,
2020-12-11,2013,2038,1974.25,2005.800049,1999.368286,12434745,,,,,,
2020-12-14,2007.949951,2015,1986.349976,1991.300049,1984.914673,7989830,,,,,,
2020-12-15,1989.699951,1989.699951,1961.099976,1974.349976,1968.019043,8561406,,,,,,
2020-12-16,1988,1994.949951,1965.699951,1976.550049,1970.212036,8565904,,,,,,
2020-12-17,1984.5,2005,1977.150024,1985.599976,1979.23291,9346460,,,,,,
2020-12-18,1980.099976,2004.900024,1965,1991.550049,1985.16394,8522215,,,,,,
2020-12-21,2010,2022,1855.25,1939.699951,1933.480103,20368545,,,,,,
2020-12-22,1949,1958.900024,1888.449951,1936.699951,1930.489746,12986606,,,,,,
2020-12-23,1930,1951.449951,1920.650024,1943.849976,1937.616821,8999898,,,,,,
2020-12-24,1947,1998.800049,1945.900024,1994.150024,1987.755615,9588577,,,,,,
2020-12-28,2006.699951,2018,1995.300049,2003.300049,1996.876221,7947719,,,,,,
2020-12-29,2009,2012.300049,1982.550049,1990.050049,1983.668701,8589407,,,,,,
2020-12-30,1995.25,2007.199951,1975.550049,1995.5,1989.101196,10173132,,,,,,
2020-12-31,1993.5,2011.900024,1978.599976,1985.300049,1978.93396,8667516,,,,,,
2021-01-01,1988,1997,1982,1987.5,1981.126831,4622002,,,,,,
2021-01-04,1995.099976,1998.900024,1968,1990.849976,1984.466064,11312992,,,,,,
2021-01-05,1969,1983.599976,1956,1966.099976,1959.79541,11132803,,,,,,
2021-01-06,1965.900024,1966,1905.150024,1914.25,1908.111694,21414270,,,,,,
2021-01-07,1920.5,1945,1905.150024,1911.150024,1905.021729,14918406,,,,,,
2021-01-08,1918,1938.400024,1912.099976,1933.699951,1927.499268,12709792,,,,,,
2021-01-11,1938.800049,1938.800049,1892.5,1897.25,1891.16626,15371556,,,,,,
2021-01-12,1903,1960,1899.900024,1957.050049,1950.774536,18996047,,,,,,
2021-01-13,1963.550049,1974.949951,1918.449951,1938.800049,1932.58313,12284876,,,,,,
2021-01-14,1945,1966.900024,1939.050049,1960.599976,1954.31311,9946818,,,,,,
2021-01-15,1960.599976,1973.800049,1920.050049,1937.449951,1931.237305,9503790,,,,,,
2021-01-18,1949.099976,1997,1923.349976,1983.949951,1977.588257,16198856,,,,,,
2021-01-19,1994.650024,2031,1994.650024,2016.400024,2009.934204,14771048,,,,,,
2021-01-20,2021.400024,2058,2001.400024,2054.699951,2048.111328,14271669,,,,,,
2021-01-21,2082,2120,2075,2099.399902,2092.667969,18038987,,,,,,
2021-01-22,2111,2115.350098,2035.150024,2049.600098,2043.027832,14090818,,,,,,
2021-01-25,2034.949951,2034.949951,1932,1941,1934.776001,25016570,,,,,,
2021-01-27,1925,1925,1888,1895,1888.923462,19553809,,,,,,
2021-01-28,1880.150024,1923.300049,1870,1876.550049,1870.532715,15722291,,,,,,
