Date,Open,High,Low,Close,AdjClose,Volume,SMAOpen,SMAHigh,SMALow,SMAClose,SMAAdjClose,SMAVolumeI
2020-12-14,2007.95,2015.00,1986.35,1991.30,1984.91,7989830.00,1979.41,1997.29,1961.52,1980.69,1974.33,11045189.20
2020-12-15,1989.70,1989.70,1961.10,1974.35,1968.02,8561406.00,1984.34,1999.63,1964.62,1982.63,1976.27,10989835.90
2020-12-16,1988.00,1994.95,1965.70,1976.55,1970.21,8565904.00,1987.29,2002.93,1967.69,1984.47,1978.11,10822409.50
2020-12-17,1984.50,2005.00,1977.15,1985.60,1979.23,9346460.00,1988.54,2005.32,1969.54,1986.63,1980.25,10474761.00
2020-12-18,1980.10,2004.90,1965.00,1991.55,1985.16,8522215.00,1989.65,2008.91,1972.04,1991.11,1984.72,10474843.70
2020-12-21,2010.00,2022.00,1855.25,1939.70,1933.48,20368545.00,1996.59,2014.61,1963.50,1989.26,1982.88,11669821.50
2020-12-22,1949.00,1958.90,1888.45,1936.70,1930.49,12986606.00,1995.38,2009.07,1957.35,1983.55,1977.19,10965431.50
2020-12-23,1930.00,1951.45,1920.65,1943.85,1937.62,8999898.00,1987.38,2000.84,1949.49,1975.24,1968.91,10518983.80
2020-12-24,1947.00,1998.80,1945.90,1994.15,1987.76,9588577.00,1979.92,1997.87,1943.98,1973.96,1967.63,10736418.60
2020-12-28,2006.70,2018.00,1995.30,2003.30,1996.88,7947719.00,1979.29,1995.87,1946.08,1973.71,1967.38,10287716.00
2020-12-29,2009.00,2012.30,1982.55,1990.05,1983.67,8589407.00,1979.40,1995.60,1945.71,1973.58,1967.25,10347673.70
2020-12-30,1995.25,2007.20,1975.55,1995.50,1989.10,10173132.00,1979.95,1997.35,1947.15,1975.70,1969.36,10508846.30
2020-12-31,1993.50,2011.90,1978.60,1985.30,1978.93,8667516.00,1980.50,1999.05,1948.44,1976.57,1970.23,10519007.50
2021-01-01,1988.00,1997.00,1982.00,1987.50,1981.13,4622002.00,1980.85,1998.25,1948.93,1976.76,1970.42,10046561.70
2021-01-04,1995.10,1998.90,1968.00,1990.85,1984.47,11312992.00,1982.35,1997.65,1949.23,1976.69,1970.35,10325639.40
2021-01-05,1969.00,1983.60,1956.00,1966.10,1959.80,11132803.00,1978.25,1993.81,1959.30,1979.33,1972.98,9402065.20
2021-01-06,1965.90,1966.00,1905.15,1914.25,1908.11,21414270.00,1979.94,1994.52,1960.97,1977.09,1970.75,10244831.60
2021-01-07,1920.50,1945.00,1905.15,1911.15,1905.02,14918406.00,1978.99,1993.87,1959.42,1973.82,1967.49,10836682.40
2021-01-08,1918.00,1938.40,1912.10,1933.70,1927.50,12709792.00,1976.09,1987.83,1956.04,1967.77,1961.46,11148803.90
2021-01-11,1938.80,1938.80,1892.50,1897.25,1891.17,15371556.00,1969.31,1979.91,1945.76,1957.17,1950.89,11891187.60
2021-01-12,1903.00,1960.00,1899.90,1957.05,1950.77,18996047.00,1958.71,1974.68,1937.50,1953.87,1947.60,12931851.60
2021-01-13,1963.55,1974.95,1918.45,1938.80,1932.58,12284876.00,1955.54,1971.46,1931.78,1948.20,1941.95,13143026.00
2021-01-14,1945.00,1966.90,1939.05,1960.60,1954.31,9946818.00,1950.69,1966.96,1927.83,1945.73,1939.49,13270956.20
2021-01-15,1960.60,1973.80,1920.05,1937.45,1931.24,9503790.00,1947.95,1964.64,1921.64,1940.72,1934.50,13759135.00
2021-01-18,1949.10,1997.00,1923.35,1983.95,1977.59,16198856.00,1943.35,1964.45,1917.17,1940.03,1933.81,14247721.40
2021-01-19,1994.65,2031.00,1994.65,2016.40,2009.93,14771048.00,1945.91,1969.19,1921.04,1945.06,1938.82,14611545.90
2021-01-20,2021.40,2058.00,2001.40,2054.70,2048.11,14271669.00,1951.46,1978.39,1930.66,1959.10,1952.82,13897285.80
2021-01-21,2082.00,2120.00,2075.00,2099.40,2092.67,18038987.00,1967.61,1995.89,1947.65,1977.93,1971.59,14209343.90
2021-01-22,2111.00,2115.35,2035.15,2049.60,2043.03,14090818.00,1986.91,2013.58,1959.95,1989.52,1983.14,14347446.50
2021-01-25,2034.95,2034.95,1932.00,1941.00,1934.78,25016570.00,1996.52,2023.20,1963.90,1993.89,1987.50,15311947.90
2021-01-27,1925.00,1925.00,1888.00,1895.00,1888.92,19553809.00,1998.72,2019.70,1962.71,1987.69,1981.32,15367724.10
2021-01-28,1880.15,1923.30,1870.00,1876.55,1870.53,15722291.00,1990.38,2014.53,1957.87,1981.46,1975.11,15711465.60
2021-01-29,1894.30,1913.10,1830.00,1841.95,1836.04,20173258.00,1985.32,2009.15,1946.96,1969.60,1963.28,16734109.60
2021-02-01,1859.40,1905.00,1848.00,1895.30,1889.22,15774504.00,1975.20,2002.27,1939.76,1965.38,1959.08,17361181.00
2021-02-02,1914.25,1940.00,1854.95,1925.80,1919.62,19138414.00,1971.71,1996.57,1932.92,1959.57,1953.29,17655136.80
2021-02-03,1928.30,1952.00,1900.00,1930.65,1924.46,13984228.00,1965.08,1988.67,1923.45,1951.00,1944.74,17576454.80
2021-02-04,1924.00,1940.00,1905.00,1924.30,1918.13,11826848.00,1955.34,1976.87,1913.81,1937.96,1931.74,17331972.70
2021-02-05,1930.05,1944.65,1920.00,1923.75,1917.58,9344470.00,1940.14,1959.34,1898.31,1920.39,1914.23,16462521.00
2021-02-08,1933.05,1969.00,1929.05,1951.45,1945.19,9776136.00,1922.35,1944.70,1887.70,1910.58,1904.45,16031052.80
2021-02-09,1961.95,1989.60,1952.30,1956.15,1949.88,9047308.00,1915.05,1940.17,1889.73,1912.09,1905.96,14434126.60
2021-02-10,1953.75,1984.75,1927.30,1974.30,1967.97,9799560.00,1917.92,1946.14,1893.66,1920.02,1913.86,13458701.70
2021-02-11,1980.00,2064.20,1972.25,2055.70,2049.11,19631870.00,1927.91,1960.23,1903.89,1937.94,1931.72,13849659.60
2021-02-12,2055.50,2078.00,2015.40,2041.60,2035.05,14074374.00,1944.03,1976.72,1922.43,1957.90,1951.62,13239771.20
2021-02-15,2048.05,2061.30,2025.00,2032.60,2026.08,7287590.00,1962.89,1992.35,1940.13,1971.63,1965.31,12391079.80
